,actual,predicted,prob_fraud
0,0,1,1.0
1,0,0,2.8470669160961764e-242
2,0,0,1.8627339408304422e-230
3,0,0,3.158932053067036e-103
4,0,0,0.0
5,0,0,1.8344810994225238e-191
6,0,0,0.0
7,0,0,0.0
8,0,0,9.969212304422612e-160
9,0,0,0.0
10,0,0,0.0
11,0,0,8.663927331369855e-137
12,1,1,1.0
13,0,0,0.0
14,0,0,0.0
15,0,0,3.327504078332304e-295
16,0,0,1.2087534658896389e-07
17,0,0,7.65521581852752e-43
18,1,0,2.9509702863019034e-13
19,0,0,1.873236633523195e-100
20,0,0,0.0
21,0,0,0.0
22,0,0,9.010282266081337e-168
23,0,0,9.945513007400656e-148
24,0,0,9.533430866198117e-270
25,0,0,0.0
26,0,0,0.0
27,0,0,4.452913639136622e-111
28,0,0,0.0
29,0,0,5.83183755309587e-61
30,0,0,0.0
31,0,0,0.0
32,0,0,0.0
33,0,0,1.8147509799337532e-155
34,0,0,4.261700668839611e-259
35,0,0,0.0
36,0,0,0.0
37,0,0,0.0
38,0,0,4.162366053710402e-242
39,0,0,6.9833767746005165e-186
40,0,0,0.0
41,0,0,8.89115233503128e-240
42,0,0,0.0
43,0,0,2.442443951071832e-148
44,0,0,0.0
45,0,0,8.29096698283424e-149
46,0,0,1.8147509799337532e-155
47,0,0,0.0
48,0,0,6.897732849152703e-18
49,0,0,1.14e-322
50,0,0,9.312304400473117e-274
51,0,0,2.2152155901041998e-269
52,0,0,1.2897595932607125e-305
53,0,0,0.0
54,0,0,2.2854215408030678e-167
55,0,0,8.1519152243165e-220
56,0,0,0.0
57,0,0,1.1258195937635977e-290
58,0,0,0.0
59,0,0,1.8147509799337532e-155
60,0,0,1.7988139333765728e-128
61,0,0,0.0
62,0,0,7.817291720465437e-169
63,0,0,0.0
64,0,0,0.0
65,0,0,0.0
66,0,0,2.8428268047364893e-221
67,0,0,0.0
68,0,0,0.0
69,0,0,4.3267233042825246e-209
70,0,0,0.0
71,0,0,3.672135760738592e-296
72,0,0,1.1831734049962242e-123
73,0,0,0.0
74,0,0,0.0
75,0,0,0.0
76,0,0,0.0
77,1,0,2.0641455617735706e-44
78,0,0,0.0
79,0,0,0.0
80,0,0,8.652837382943248e-93
81,0,0,2.414596876963964e-308
82,0,0,1.1706822008926968e-142
83,0,0,0.0
84,0,0,0.0
85,0,0,1.632278997061016e-286
86,0,0,8.01820493213357e-219
87,0,0,1.1466346338306985e-298
88,1,0,4.579756504645226e-33
89,0,0,3.1932251302520526e-206
90,0,0,1.1245105212159153e-98
91,0,0,7.001762396844127e-15
92,0,0,3.697625046954026e-275
93,0,0,1.1720583954846585e-124
94,1,1,1.0
95,0,0,1.534e-320
96,0,0,0.0
97,0,0,1.0698393248679887e-150
98,0,0,0.0
99,0,0,8.743184256850748e-305
100,0,0,0.0
101,0,0,4.37030426322611e-140
102,0,0,2.9572147113458307e-279
103,0,0,1.179962526e-315
104,0,0,0.0
105,0,0,4.730438767999493e-234
106,0,0,2.009972471955107e-88
107,0,0,0.0
108,0,0,7.730392036510063e-201
109,0,0,9.360622570891037e-147
110,0,0,7.4e-323
111,0,0,6.424177170688361e-32
112,0,0,1.322727152533476e-116
113,0,0,1.8147509799337532e-155
114,0,0,6.270712768955202e-23
115,0,0,0.0
116,0,0,0.0
117,0,0,0.0
118,0,0,2.5431171408310886e-127
119,0,0,0.0
120,0,0,5.737263665174418e-242
121,1,0,5.245705846000199e-07
122,0,0,1.877771046128727e-223
123,0,0,4.0914414815821613e-85
124,0,0,0.0
125,0,0,6.469443192618095e-150
126,0,0,3.36e-322
127,0,0,0.0
128,0,0,5.242482852802974e-149
129,0,0,7.780238857676748e-231
130,0,0,0.0
131,0,0,0.0
132,0,0,3.059869179164958e-124
133,0,0,3.627989660968428e-26
134,0,0,7.148467502460193e-103
135,0,0,0.0
136,0,0,8.231212319375218e-193
137,0,0,5.861955088365911e-166
138,0,0,0.0
139,0,0,0.0
140,0,0,0.0
