,actual,predicted,prob_fraud
0,0,0,0.04133804693206984
1,0,0,0.014253411685338637
2,0,0,0.003676521710246163
3,0,0,0.32525298527139335
4,0,0,0.003003195338639081
5,0,0,0.02424564623496708
6,0,0,2.353176529795887e-06
7,0,0,0.0006182982492356288
8,0,0,0.09412968383104277
9,0,0,0.009208644819995997
10,0,0,0.00043056050346064435
11,0,0,3.171543749028436e-05
12,1,0,0.24313622815243383
13,0,0,8.898216437308456e-05
14,0,0,1.4303178112777438e-05
15,0,0,0.00035889135029626364
16,0,0,0.16869409207697544
17,0,0,0.12885809614764618
18,1,0,0.14762920985419736
19,0,0,0.0561553624773165
20,0,0,0.0031029390332190944
21,0,0,4.606645379037225e-08
22,0,0,0.08219243608010494
23,0,0,0.016983587462879094
24,0,0,9.698202400106588e-05
25,0,0,1.875530551947923e-05
26,0,0,0.0008148747140918484
27,0,0,0.06769090840446668
28,0,0,6.738122375749032e-14
29,0,0,0.020601220329892995
30,0,0,0.008943626716346029
31,0,0,0.0010255990708001464
32,0,0,0.0003054636117653547
33,0,0,0.00026456987069770337
34,0,0,0.013824134534077305
35,0,0,1.2626605301774721e-05
36,0,0,3.498021750780557e-10
37,0,0,0.0009299521546865774
38,0,0,0.006387973136830391
39,0,0,3.0824659786675234e-05
40,0,0,0.0017163150737185525
41,0,0,4.0203458640215874e-05
42,0,0,1.9998959340396153e-11
43,0,0,0.000568110299431665
44,0,0,4.6648171029149245e-07
45,0,0,0.0022103478246225296
46,0,0,0.00026456987069770337
47,0,0,0.00010274711865093632
48,0,0,0.2540199990284655
49,0,0,0.000904052258155221
50,0,0,1.0066684741243942e-08
51,0,0,0.06674352323545239
52,0,0,0.019056499781430224
53,0,0,0.0003933697546616779
54,0,0,0.24276501222572358
55,0,0,0.018425042521585257
56,0,0,0.0003542470199756153
57,0,0,0.004097932107166801
58,0,0,0.0009310273946143443
59,0,0,0.00026456987069770337
60,0,0,0.0006301528286734258
61,0,0,0.246823543169831
62,0,0,0.01353176785651968
63,0,0,1.0928229762972047e-05
64,0,0,1.6279873226583573e-05
65,0,0,4.1792873729879385e-07
66,0,0,0.01783935187090461
67,0,0,1.2898181581442114e-05
68,0,0,6.907136642160933e-05
69,0,0,0.010035152462363675
70,0,0,0.13501988605783874
71,0,0,0.00268959030156449
72,0,0,0.028223741287571675
73,0,0,8.641168074460903e-07
74,0,0,2.148282503864078e-05
75,0,0,0.0009213903766519591
76,0,0,2.0417181322725705e-05
77,1,0,0.12147863327179334
78,0,0,5.326295231594859e-07
79,0,0,0.00927432341483315
80,0,0,0.10465559336380591
81,0,0,0.00012997834209582196
82,0,0,0.2177268508927857
83,0,0,0.00339620868141218
84,0,0,0.00038439971110262107
85,0,0,0.0328056036205125
86,0,0,0.020883795626134828
87,0,0,0.007760626499274067
88,1,0,0.21651453201963
89,0,0,0.010405918248016451
90,0,0,0.22975397285519236
91,0,0,0.19019353109024417
92,0,0,0.0001886647749848441
93,0,0,0.008483512180849006
94,1,1,0.744869626865399
95,0,0,6.098798568966679e-05
96,0,0,2.2829309252392406e-07
97,0,0,0.02194857148056818
98,0,0,0.010177237599856262
99,0,0,0.010175335339325218
100,0,0,0.05767221888130523
101,0,0,0.22532607995182768
102,0,0,0.0018926400498998658
103,0,0,0.0004240301099311766
104,0,0,0.00020704829185961196
105,0,0,0.2134498981963566
106,0,0,0.02026963236289753
107,0,0,0.0010594385074480022
108,0,0,0.005199578140640317
109,0,0,0.08161862024943133
110,0,0,0.024884206711493113
111,0,1,0.5836484387557922
112,0,0,0.00452783020864955
113,0,0,0.00026456987069770337
114,0,0,7.125883931893784e-06
